"Cyanobacteria_rel_abund_16S","year","doy"
17.6082034891464,"2002",213
13.1629907611718,"2013",213
9.06895901278993,"2014",213
19.0118898170143,"2015",213
11.7680418433216,"2017",213
18.6136457078769,"2018",213
7.89101742947099,"2017",335
17.6963812886143,"2002",182
14.8874483958748,"2015",182
2.11229047275162,"2011",152
0.621863266306128,"2019",60
11.6864405671846,"2007",305
11.8823691786705,"2011",305
8.84918666744911,"2014",274
20.3888083203499,"2015",244
12.7946844152127,"2016",245
0.481136545678904,"2012",93
8.23787917174967,"2005",214
4.64594730216982,"2010",153
2.16000708434605,"2012",154
12.5828008492844,"2015",153
1.4586824421813,"2016",154
1.89480214910483,"2017",153
0.701973735067404,"2015",122
4.02307236641038,"2014",306
10.9658072385652,"2004",246
9.32752325992227,"2012",216
10.1612523772588,"2014",215
22.617894878258,"2015",215
7.50808494381342,"2010",337
12.4356100516924,"2013",184
19.6654330155901,"2015",184
12.379400557341,"2018",184
6.71508660355767,"2013",154
0.670200444365259,"2011",123
12.8673182847452,"2015",307
9.9955895085195,"2017",307
19.0504593601229,"2011",276
14.4212360492761,"2014",246
6.08792025891756,"2009",338
13.5154973196945,"2014",185
20.2890423325645,"2015",155
0.0382848392036754,"2005",124
28.0269670280105,"2015",277
12.3261867104136,"2017",277
18.3111887182526,"2011",247
12.4953948808207,"2018",247
17.1053034200298,"2010",217
9.36544793799537,"2014",217
19.2262911488139,"2015",217
14.5634752427859,"2017",217
0.805604203152364,"2008",157
23.0319420338164,"2015",156
25.7014012409361,"2018",156
0.278107369522534,"2012",126
42.0070723082551,"2012",310
9.14535193761598,"2014",278
23.4781625831991,"2018",278
6.34654767892764,"2016",97
10.6385375078449,"2004",219
10.7391658334312,"2013",218
10.656497461686,"2014",218
16.4361759816226,"2018",218
16.8039601772638,"2010",187
11.4075580230731,"2012",188
5.74915046914845,"2016",188
11.2712898867258,"2018",187
2.82560227135735,"2016",127
24.8564116514464,"2015",279
19.3632917532612,"2013",249
17.706519270084,"2003",219
15.2806228919936,"2008",220
11.1143794736313,"2014",219
16.6889486132724,"2015",219
20.0818610434693,"2005",188
11.9290365105891,"2015",188
7.81774492141619,"2017",158
31.8425308207004,"2018",158
1.61463666653344,"2015",66
0.193828335491833,"2013",127
0.176378080901071,"2014",127
2.28092770099039,"2018",127
4.58363464426767,"2002",311
4.42534755143439,"2009",280
16.1730980820583,"2016",281
12.3223607001424,"2012",251
13.3542327042398,"2014",250
17.4049133781614,"2017",250
17.6126457149847,"2017",220
16.6255610258446,"2018",220
34.0437160135919,"2004",190
19.1048786504517,"2014",189
7.57844151666372,"2016",190
8.9294582699624,"2017",189
4.82422162663993,"2012",160
14.6338440912696,"2014",159
16.3141810110899,"2015",159
2.00427408733262,"2016",160
0.614587427917722,"2019",67
16.5319289200989,"2005",312
8.46161023877607,"2018",312
7.32588122586362,"2002",281
9.88077330608692,"2012",282
13.5798444440584,"2011",221
10.4315418805753,"2013",221
16.9706275780698,"2015",221
10.1435600295423,"2018",190
15.4711060751329,"2003",160
0.467563487960348,"2009",160
10.7722207135406,"2017",160
0.820413094896992,"2015",129
43.6209110984569,"2012",314
3.72202615816984,"2014",313
10.3537949811847,"2016",253
27.0997966399579,"2009",222
16.5860637544355,"2016",223
16.4349118707015,"2015",191
0.912708257367342,"2013",161
13.9388679926152,"2014",161
28.6868372867665,"2015",161
0.158317143800852,"2008",131
23.3325533565855,"2005",283
20.5206817296777,"2015",283
0.0699517534881863,"2005",101
0.456662901609024,"2015",101
0.621804603435846,"2018",101
15.5690984242131,"2015",223
12.9797563882978,"2003",192
19.7789473497869,"2008",193
14.6994329388235,"2013",192
10.8682205789794,"2017",192
7.90627005516304,"2018",192
1.76562523499742,"2004",163
13.5391377018562,"2003",315
16.6200499056751,"2016",316
6.85036081597707,"2014",284
9.66797232909809,"2014",254
25.1563503700806,"2011",193
15.6608788165644,"2015",163
0.578493482507181,"2018",163
0.61822382504704,"2016",133
0.754637524403113,"2017",132
24.0650918652886,"2004",286
24.0976352899322,"2007",285
9.26649906210012,"2012",286
12.8003467921724,"2002",255
6.81480410128063,"2016",104
11.7768142465594,"2013",225
18.8447108820245,"2015",225
1.0245594512444,"2010",44
11.0083173364791,"2012",195
14.0071047638639,"2015",194
7.87146045759099,"2011",164
0.636302748404444,"2013",164
3.40375106019846,"2016",165
15.1346766782858,"2017",164
1.02276476410426,"2003",133
0.254524179804779,"2013",133
17.2303993075816,"2010",286
14.8975895970029,"2017",286
24.7920152710799,"2018",286
33.5189134878831,"2009",256
12.8569303377611,"2012",257
9.49134897626129,"2014",256
18.2950861804827,"2015",256
17.2411733078439,"2002",226
13.9276097760963,"2018",226
6.42815705362078,"2017",195
2.05381131655777,"2018",165
9.09196783747235,"2009",318
0.634660688989175,"2013",318
15.1318027918122,"2016",288
35.5637736430525,"2010",257
17.2811041501364,"2018",257
11.4455041994018,"2013",227
10.9215643642813,"2014",227
4.29035564281328,"2015",46
16.6280467367362,"2010",196
14.4060997276244,"2015",196
4.30554357537339,"2010",166
10.5021621652124,"2012",167
0.475275726281214,"2012",75
0.528960575052795,"2014",135
12.593374678631,"2003",288
15.8155007953577,"2015",288
11.0994096746484,"2017",258
12.551269620995,"2005",228
19.0952391136782,"2015",228
14.3998570962546,"2018",228
20.8264505668594,"2014",167
23.5255537378393,"2015",167
30.2381881473211,"2017",167
0.712765929169836,"2013",136
0.732236956832735,"2016",137
38.6225189334574,"2012",321
24.1441586901607,"2016",321
7.601046089847,"2014",289
11.8760638793276,"2004",260
16.1494850010859,"2013",259
24.7687324942583,"2015",259
8.91645731697161,"2016",260
27.402549406719,"2010",229
6.73213915121509,"2012",230
27.9782967681057,"2002",198
11.9560042149943,"2014",198
13.3073054407747,"2018",198
5.49655568312285,"2002",168
15.9173808884884,"2014",168
13.506547840908,"2017",168
0.324983177426874,"2012",138
14.2574993967998,"2014",260
10.8190279136754,"2014",230
14.5329878319613,"2017",230
4.10327621239111,"2011",18
10.0357933334177,"2013",199
9.82989146966425,"2017",199
1.90617797229415,"2009",169
19.1013792318698,"2014",169
12.9627151941724,"2017",169
6.38173213878107,"2018",169
0.248446824591082,"2010",138
0.703472095081885,"2011",138
0.350537838905185,"2016",139
20.8786227398624,"2015",291
15.3996285353437,"2014",231
20.6144148142321,"2015",231
8.67808152892392,"2018",19
13.2507653831229,"2015",200
12.0004612290286,"2018",200
14.9092531485842,"2014",170
24.7936191877229,"2015",170
0.0769998315474957,"2019",78
1.12257995661715,"2004",140
1.61027878530366,"2015",139
24.1442338043127,"2016",293
15.5990252494481,"2005",262
21.6959293703944,"2015",262
0.179722408740209,"2010",110
5.59629111630412,"2016",111
0.839926451624835,"2018",110
0.0422027399869566,"2019",110
14.9355609965878,"2014",232
16.1195053094093,"2018",232
9.5577622068374,"2012",202
13.433044646786,"2014",201
10.1463746426762,"2016",202
4.4473410018967,"2013",171
4.12206067414738,"2017",171
0.195409698320903,"2016",141
2.73764835248171,"2002",324
14.9074606341302,"2017",293
4.46966922304815,"2017",111
14.6119386234966,"2014",233
14.4656834897492,"2015",202
13.0937797684717,"2010",172
7.46645934937074,"2016",173
6.60545190684469,"2018",172
0.49006715367845,"2013",141
20.4836025368256,"2016",295
13.3322518684657,"2011",264
9.25041211718178,"2012",265
10.3426791928158,"2014",264
3.67723099514564,"2016",113
14.3326783130624,"2008",235
19.2778655455644,"2011",234
13.6663058630393,"2014",234
18.704135703291,"2015",234
14.4994427549407,"2016",235
0.484935115900249,"2019",53
17.8049063059478,"2004",204
13.194671324377,"2008",204
6.29048661732227,"2016",204
14.4049470060429,"2005",173
12.7173352245712,"2012",174
3.93993663038986,"2002",295
14.7870294803817,"2012",296
13.4469331677256,"2015",295
16.7325873982044,"2003",265
26.181524444658,"2015",265
16.8614820760365,"2017",265
21.8108125859557,"2018",265
0.344719523660295,"2001",113
10.1407163734094,"2013",235
7.28165064102564,"2003",204
23.515527088729,"2015",174
6.35101446691368,"2016",175
0.419012438942842,"2014",143
0.146647516120212,"2016",144
3.08411367705799,"2017",143
9.94662203738987,"2016",267
0.12596157404827,"2019",114
16.3763929369611,"2012",237
14.4486360025126,"2014",236
16.2556865834379,"2017",236
13.7859522196412,"2013",205
11.7279016425075,"2014",205
14.3192408187079,"2015",205
12.0512049961891,"2017",205
13.5824768872233,"2018",205
11.232484808052,"2014",175
6.11230855043376,"2017",175
0.719796783701329,"2013",144
1.4623226035833,"2015",144
5.4609011289295,"2018",144
20.0448618128799,"2018",297
12.5530582422935,"2002",267
17.1549249164706,"2014",267
1.14087573159816,"2018",115
12.2862841332043,"2014",237
25.8162743444286,"2015",237
14.2969880910818,"2016",238
15.9695492783134,"2018",237
18.3898694749637,"2011",206
24.5538537053669,"2004",177
3.52107033894457,"2008",177
22.0090736277944,"2015",176
0.0793938349045969,"2005",145
1.70770364914949,"2017",145
9.20417385354217,"2015",298
23.9421651474043,"2009",238
14.0073795243351,"2014",238
0.86979793924796,"2010",57
12.6723609473826,"2015",207
15.4338134435587,"2009",177
12.2593334682682,"2014",177
8.5951140688902,"2018",177
5.33432224288859,"2004",147
0.21167230590694,"2016",147
3.58917112140496,"2009",299
5.881401028092,"2012",300
17.7755938097897,"2010",269
19.5549304931169,"2015",269
0.520673372328036,"2015",117
12.5028537928863,"2014",239
26.2501400577219,"2010",208
10.7198748393142,"2012",209
14.300448042824,"2014",208
10.9059876054224,"2016",209
14.6208975009913,"2017",208
14.3026304367749,"2018",208
13.2637584862054,"2003",178
8.35105796951924,"2013",178
17.815971118912,"2015",178
8.64405052911089,"2017",178
1.6831036282216,"2015",147
10.3721218001412,"2003",300
21.0668208308759,"2007",270
29.6438020041715,"2009",270
7.87516099151079,"2012",271
13.1539935926255,"2014",240
1.11387359156951,"2011",59
15.1593719591843,"2015",209
16.796382997401,"2011",179
18.4128299095818,"2018",179
1.57482378390935,"2003",148
3.30180098235401,"2013",148
0.754521618387081,"2014",148
2.95496358005066,"2015",148
13.3844268930711,"2016",302
19.0639777574089,"2014",271
19.7670929285697,"2016",272
4.21526314701655,"2016",120
12.6510267107331,"2002",241
11.9453562375223,"2014",241
0.601577811605318,"2010",29
16.1517936232315,"2013",210
8.90375508705578,"2016",211
8.67120755344411,"2012",181
12.4235285420065,"2015",180
1.06583422064121,"2014",149
5.82574516546949,"2018",149
16.4297282706496,"2010",302
16.9158802208123,"2018",272
0.121897343373137,"2013",120
19.0683851134755,"2010",242
15.3490093223277,"2013",242
20.5614147169495,"2015",242
14.7804287592252,"2016",243
15.4921823874984,"2017",242
23.9302444490068,"2009",211
17.2987213736512,"2015",211
16.5532756258314,"2014",181
6.04404663694091,"2016",182
1.15133908197213,"2014",150
18.2560544974431,"2011",334
11.6968702071343,"2004",274
12.235233863347,"2005",243
15.2465467081714,"2012",244
13.2193173448717,"2014",243
15.4952108487465,"2018",243
9.59550158983754,"2013",151
2.89730185353716,"2015",151
9.49085362242258,"2018",304
