sampledate,year,daynum,secnview
1995-05-09,1995,129,2.2
1995-05-23,1995,143,6
1995-06-06,1995,157,9.5
1995-06-21,1995,172,4.5
1995-07-06,1995,187,2.2
1995-07-18,1995,199,2
1995-08-02,1995,214,1.8
1995-08-14,1995,226,1.6
1995-08-30,1995,242,1.9
1995-09-11,1995,254,3.1
1995-09-25,1995,268,2.3
1995-10-11,1995,284,3.3
1995-10-25,1995,298,2.9
1995-11-10,1995,314,2
1995-12-06,1995,340,NA
1996-02-06,1996,37,4.8
1996-04-09,1996,100,1.9
1996-04-17,1996,108,2.2
1996-05-01,1996,122,5
1996-05-04,1996,125,12
1996-05-14,1996,135,8.1
1996-05-28,1996,149,5.3
1996-06-10,1996,162,5.3
1996-06-26,1996,178,7.8
1996-07-08,1996,190,2.7
1996-07-22,1996,204,1.8
1996-08-05,1996,218,1.5
1996-08-19,1996,232,2.1
1996-09-05,1996,249,2.8
1996-09-16,1996,260,2.2
1996-10-16,1996,290,4.6
1996-11-08,1996,313,4
1996-11-25,1996,330,3.6
1997-01-14,1997,14,3.5
1997-02-17,1997,48,4.9
1997-04-09,1997,99,2.7
1997-04-21,1997,111,3.3
1997-05-02,1997,122,3.2
1997-05-13,1997,133,6.2
1997-05-28,1997,148,4.1
1997-06-11,1997,162,5.6
1997-06-25,1997,176,4.3
1997-07-09,1997,190,4.3
1997-07-24,1997,205,2.8
1997-08-06,1997,218,2.8
1997-08-18,1997,230,2.8
1997-09-02,1997,245,2.6
1997-10-01,1997,274,2
1997-10-30,1997,303,2.8
1997-11-30,1997,334,5.7
1998-02-06,1998,37,13.4
1998-03-06,1998,65,3
1998-03-13,1998,72,2.1
1998-03-26,1998,85,2.5
1998-04-10,1998,100,3.1
1998-04-24,1998,114,1.2
1998-05-11,1998,131,11.1
1998-05-28,1998,148,4.1
1998-06-08,1998,159,6.5
1998-06-22,1998,173,3.8
1998-07-06,1998,187,2
1998-07-23,1998,204,1.8
1998-08-02,1998,214,2.1
1998-08-18,1998,230,1.8
1998-09-02,1998,245,2.2
1998-09-28,1998,271,3.6
1998-10-27,1998,300,2.9
1998-11-23,1998,327,4
1999-01-25,1999,25,7.1
1999-02-22,1999,53,7.2
1999-03-29,1999,88,2.5
1999-04-12,1999,102,7
1999-04-26,1999,116,10.5
1999-05-10,1999,130,5.3
1999-05-26,1999,146,5.7
1999-06-07,1999,158,7.2
1999-06-21,1999,172,2.6
1999-07-06,1999,187,2
1999-07-19,1999,200,2.1
1999-08-02,1999,214,2.4
1999-08-16,1999,228,2.4
1999-08-30,1999,242,2.4
1999-09-27,1999,270,2.3
1999-10-07,1999,280,2
1999-10-26,1999,299,2
1999-11-22,1999,326,3.5
2000-01-24,2000,24,4.5
2000-02-28,2000,59,8.8
2000-03-13,2000,73,5
2000-03-29,2000,89,2.5
2000-04-10,2000,101,3.1
2000-04-25,2000,116,6.2
2000-05-09,2000,130,4.5
2000-05-22,2000,143,5.5
2000-06-06,2000,158,3
2000-06-19,2000,171,4.1
2000-07-03,2000,185,4
2000-07-17,2000,199,1.3
2000-07-31,2000,213,1.9
2000-08-16,2000,229,1.4
2000-08-28,2000,241,1.2
2000-09-25,2000,269,2.4
2000-10-24,2000,298,5.2
2000-11-28,2000,333,4.3
2001-01-17,2001,17,5.6
2001-03-07,2001,66,2.5
2001-04-10,2001,100,3
2001-04-23,2001,113,2.5
2001-05-07,2001,127,9
2001-05-21,2001,141,4.3
2001-06-04,2001,155,5.8
2001-06-18,2001,169,3.4
2001-07-02,2001,183,2
2001-07-16,2001,197,1.8
2001-07-30,2001,211,2
2001-08-13,2001,225,1.4
2001-08-27,2001,239,1.75
2001-09-26,2001,269,1.3
2001-10-22,2001,295,5.5
2001-11-26,2001,330,3.1
2002-03-28,2002,87,2.2
2002-04-08,2002,98,2.5
2002-04-24,2002,114,4.6
2002-05-06,2002,126,6.3
2002-05-20,2002,140,6.6
2002-06-03,2002,154,4.9
2002-06-18,2002,169,6.5
2002-07-01,2002,182,2.3
2002-07-15,2002,196,1.9
2002-07-26,2002,207,1.6
2002-08-12,2002,224,1.2
2002-08-26,2002,238,1.7
2002-09-23,2002,266,1.5
2002-10-21,2002,294,3
2002-11-18,2002,322,3.5
2003-01-21,2003,21,10.2
2003-04-03,2003,93,6.4
2003-04-14,2003,104,3.2
2003-04-28,2003,118,5.5
2003-05-13,2003,133,6.6
2003-05-27,2003,147,5
2003-06-09,2003,160,4.2
2003-06-23,2003,174,2
2003-07-07,2003,188,4.9
2003-07-24,2003,205,4.6
2003-08-04,2003,216,2.4
2003-08-18,2003,230,1.7
2003-09-02,2003,245,2.3
2003-09-29,2003,272,2
2003-10-27,2003,300,6
2003-11-25,2003,329,3.5
2004-02-03,2004,34,5.2
2004-03-29,2004,89,2.9
2004-04-12,2004,103,2.7
2004-04-28,2004,119,6.3
2004-05-10,2004,131,10.1
2004-05-24,2004,145,3
2004-06-07,2004,159,5.5
2004-06-21,2004,173,3.75
2004-07-06,2004,188,2.6
2004-07-19,2004,201,2.4
2004-08-03,2004,216,2.3
2004-08-16,2004,229,1.6
2004-09-07,2004,251,2.2
2004-10-05,2004,279,2.3
2004-11-03,2004,308,4
2005-01-31,2005,31,10.2
2005-04-15,2005,105,2.2
2005-04-25,2005,115,4
2005-05-09,2005,129,7.5
2005-05-23,2005,143,4.3
2005-06-06,2005,157,5.5
2005-06-20,2005,171,3.6
2005-07-05,2005,186,1.6
2005-07-18,2005,199,1.3
2005-08-01,2005,213,2.6
2005-08-15,2005,227,1.6
2005-08-29,2005,241,2
2005-09-26,2005,269,2.4
2005-11-02,2005,306,4.5
2005-11-30,2005,334,5.5
2006-03-06,2006,65,7.8
2006-04-04,2006,94,6.5
2006-04-17,2006,107,6.4
2006-05-02,2006,122,6.4
2006-05-15,2006,135,5.2
2006-05-30,2006,150,5.3
2006-06-12,2006,163,4
2006-06-26,2006,177,3
2006-07-10,2006,191,3.3
2006-07-24,2006,205,3
2006-08-07,2006,219,2.2
2006-08-21,2006,233,3
2006-09-06,2006,249,3
2006-10-02,2006,275,2.2
2006-10-30,2006,303,2.5
2006-11-27,2006,331,7.1
2007-01-03,2007,3,6
2007-02-19,2007,50,9.2
2007-04-02,2007,92,4.1
2007-04-16,2007,106,2.8
2007-04-30,2007,120,3.1
2007-05-14,2007,134,7.8
2007-05-29,2007,149,6
2007-06-11,2007,162,3.8
2007-06-25,2007,176,3
2007-07-09,2007,190,2.2
2007-07-23,2007,204,2
2007-08-06,2007,218,2
2007-08-20,2007,232,2.5
2007-09-04,2007,247,3
2007-10-01,2007,274,1.7
2007-10-29,2007,302,3
2007-11-26,2007,330,4
2008-02-13,2008,44,10.5
2008-04-14,2008,105,0.9
2008-04-28,2008,119,4.2
2008-05-12,2008,133,6
2008-05-28,2008,149,10.7
2008-06-09,2008,161,6
2008-06-23,2008,175,1.75
2008-07-07,2008,189,0.8
2008-07-21,2008,203,2
2008-08-04,2008,217,1.2
2008-08-18,2008,231,1.1
2008-09-05,2008,249,1.8
2008-09-29,2008,273,2.2
2008-10-29,2008,303,3.5
2009-01-21,2009,21,11.3
2009-04-15,2009,105,3.5
2009-04-27,2009,117,3
2009-05-11,2009,131,5.3
2009-05-28,2009,148,5.1
2009-06-09,2009,160,8.5
2009-06-23,2009,174,6.7
2009-07-06,2009,187,2.2
2009-07-20,2009,201,0.6
2009-08-05,2009,217,0.9
2009-08-19,2009,231,1.2
2009-09-02,2009,245,1.2
2009-09-30,2009,273,2.5
2009-10-28,2009,301,4.7
2009-12-03,2009,337,5
2010-02-01,2010,32,9
2010-03-29,2010,88,1
2010-04-13,2010,103,1.9
2010-04-26,2010,116,1.6
2010-05-10,2010,130,2.5
2010-05-24,2010,144,7.6
2010-06-07,2010,158,2.1
2010-06-21,2010,172,1.9
2010-07-05,2010,186,1.4
2010-07-19,2010,200,1.1
2010-08-03,2010,215,1.4
2010-08-16,2010,228,1.3
2010-08-30,2010,242,1.2
2010-10-05,2010,278,2.1
2010-11-09,2010,313,2.9
2011-01-19,2011,19,5.3
2011-04-18,2011,108,NA
2011-05-02,2011,122,2.5
2011-05-17,2011,137,2.3
2011-05-31,2011,151,6
2011-06-13,2011,164,7.2
2011-06-27,2011,178,3.3
2011-07-11,2011,192,3.3
2011-07-25,2011,206,2.6
2011-08-04,2011,216,3.3
2011-08-22,2011,234,1.8
2011-09-12,2011,255,2
2011-10-03,2011,276,2.2
2011-10-31,2011,304,2.6
2012-02-22,2012,53,2.3
2012-02-28,2012,59,NA
2012-03-21,2012,81,1.5
2012-04-04,2012,95,2.6
2012-04-17,2012,108,7
2012-05-01,2012,122,8.2
2012-05-14,2012,135,7.8
2012-05-29,2012,150,5.6
2012-06-11,2012,163,2.9
2012-06-25,2012,177,1.5
2012-07-10,2012,192,1.8
2012-07-23,2012,205,1.4
2012-08-06,2012,219,1.5
2012-08-20,2012,233,1.7
2012-09-04,2012,248,2.1
2012-10-01,2012,275,2.1
2012-10-29,2012,303,4.2
2012-11-29,2012,334,2.5
2013-02-12,2013,43,NA
2013-04-29,2013,119,2.4
2013-05-14,2013,134,2.7
2013-05-28,2013,148,8.2
2013-06-10,2013,161,10.6
2013-06-24,2013,175,2.4
2013-07-08,2013,189,1.6
2013-07-22,2013,203,1.4
2013-08-05,2013,217,1.6
2013-08-21,2013,233,1.1
2013-09-04,2013,247,1.4
2013-09-30,2013,273,1.9
2013-10-29,2013,302,2
2013-12-02,2013,336,3.6
2014-02-03,2014,34,4.2
2014-04-29,2014,119,2
2014-05-14,2014,134,1.7
2014-05-28,2014,148,1.4
2014-06-09,2014,160,3.8
2014-06-23,2014,174,2.1
2014-07-07,2014,188,1.5
2014-07-21,2014,202,1.3
2014-08-04,2014,216,1.3
2014-08-20,2014,232,1.6
2014-09-02,2014,245,2
2014-09-28,2014,271,2.4
2014-10-30,2014,303,2.6
2015-02-11,2015,42,3.1
2015-04-10,2015,100,1.4
2015-04-24,2015,114,2
2015-05-01,2015,121,1.3
2015-05-13,2015,133,0.8
2015-05-27,2015,147,3.3
2015-06-08,2015,159,3.5
2015-06-23,2015,174,1.4
2015-07-08,2015,189,1.9
2015-07-20,2015,201,1.5
2015-08-03,2015,215,1.4
2015-08-18,2015,230,1.6
2015-08-31,2015,243,1.4
2015-10-07,2015,280,1.9
2015-11-02,2015,306,2.5
2016-01-27,2016,27,4.8
2016-03-28,2016,88,1.6
2016-04-12,2016,103,2.1
2016-04-25,2016,116,1.6
2016-05-11,2016,132,5.9
2016-05-23,2016,144,5.5
2016-06-07,2016,159,3.4
2016-06-20,2016,172,4.4
2016-06-21,2016,173,NA
2016-07-05,2016,187,2.3
2016-07-18,2016,200,2.1
2016-08-01,2016,214,2
2016-08-05,2016,218,NA
2016-08-15,2016,228,2.2
2016-08-18,2016,231,NA
2016-08-30,2016,243,3
2016-10-04,2016,278,2.4
2016-11-09,2016,314,2.5
2017-02-06,2017,37,4.3
2017-04-17,2017,107,1.4
2017-05-03,2017,123,1.9
2017-05-15,2017,135,1.7
2017-05-30,2017,150,6.1
2017-06-12,2017,163,2.5
2017-06-26,2017,177,2.8
2017-07-10,2017,191,1.4
2017-07-24,2017,205,1.5
2017-08-07,2017,219,1.4
2017-08-23,2017,235,1.6
2017-09-06,2017,249,1.6
2017-09-25,2017,268,2.4
2017-10-04,2017,277,2.3
2017-11-02,2017,306,3.9
2017-12-19,2017,353,5.4
2018-01-23,2018,23,4.8
2018-04-05,2018,95,1.6
2018-04-20,2018,110,1.8
2018-05-07,2018,127,1.1
2018-05-14,2018,134,1.1
2018-05-29,2018,149,2.2
2018-06-11,2018,162,3.5
2018-06-25,2018,176,2.2
2018-07-09,2018,190,1.8
2018-07-23,2018,204,1.2
2018-08-06,2018,218,2
2018-08-22,2018,234,2.1
2018-09-04,2018,247,2.6
2018-09-19,2018,262,2.2
2018-10-02,2018,275,3.1
2018-10-18,2018,291,3.4
2018-10-29,2018,302,3.7
2018-11-14,2018,318,4.5
2018-11-30,2018,334,6.5
2019-02-21,2019,52,1.1
2019-04-03,2019,93,2.6
2019-04-15,2019,105,1.7
2019-04-29,2019,119,2.8
2019-05-12,2019,132,3.6
2019-05-13,2019,133,NA
2019-05-28,2019,148,9.5
2019-06-11,2019,162,8.3
2019-06-24,2019,175,5.6
2019-07-08,2019,189,3.1
2019-07-22,2019,203,1.8
2019-08-05,2019,217,1.8
2019-08-21,2019,233,NA
2019-09-04,2019,247,1.7
2019-09-11,2019,254,NA
2019-10-04,2019,277,2.3
2019-10-28,2019,301,4.6
2019-11-20,2019,324,6.6
2020-02-12,2020,43,2.9
2020-03-26,2020,86,NA
2020-05-07,2020,128,1.7
2020-05-15,2020,136,4.5
2020-06-02,2020,154,9.9
2020-06-12,2020,164,7.1
2020-06-24,2020,176,3
2020-07-08,2020,190,1.9
2020-07-20,2020,202,1.8
2020-08-06,2020,219,1.25
2020-08-20,2020,233,1.6
2020-09-02,2020,246,1.25
2020-09-18,2020,262,1.75
2020-10-08,2020,282,1.8
2020-11-03,2020,308,4.6
2020-12-10,2020,345,6
